-0.0000,0.0000,-0.0000.1,-0.0000.2,0.0000.1,-0.0000.3,-43.8520,-28.7582,-55.5674,-42.6073,65.3795,19.5901
2.3683,-1.1509,1.3789,-1.051,-1.4087,0.8966,-43.6965,-28.7808,-55.9496,-43.1218,62.7137,20.3851
2.477,-1.1546,1.2555,-1.0916,-1.4343,0.916,-43.6938,-28.7813,-55.956,-43.1306,62.6682,20.3986
2.3344,-1.1466,1.3819,-1.0383,-1.4535,0.9056,-43.6911,-28.7818,-55.9626,-43.1394,62.6223,20.4123
2.4862,-1.1851,1.3298,-1.0668,-1.442,0.9292,-43.6884,-28.7823,-55.9692,-43.1483,62.576,20.4261
2.317,-1.1802,1.337,-1.0197,-1.4565,0.9193,-43.6857,-28.7828,-55.9758,-43.1572,62.5292,20.44
2.4711,-1.2045,1.369,-1.0981,-1.4467,0.9139,-43.683,-28.7833,-55.9826,-43.1663,62.4821,20.4541
2.3237,-1.1341,1.3409,-1.1362,-1.4624,0.9333,-43.6802,-28.7838,-55.9893,-43.1754,62.4344,20.4682
2.4879,-1.2194,1.3298,-1.0977,-1.4505,0.929,-43.6774,-28.7844,-55.9962,-43.1846,62.3864,20.4825
2.3703,-1.2642,1.3422,-1.1104,-1.441,0.9197,-43.6746,-28.7849,-56.0031,-43.1939,62.3379,20.497
2.4297,-1.1471,1.2681,-1.1265,-1.4512,0.9112,-43.6717,-28.7854,-56.0101,-43.2033,62.2891,20.5115
2.2753,-1.1202,1.3089,-1.0355,-1.445,0.9002,-43.6689,-28.786,-56.0171,-43.2128,62.2397,20.5262
2.4156,-1.2448,1.3331,-1.1037,-1.452,0.9166,-43.666,-28.7865,-56.0242,-43.2223,62.19,20.541
2.4016,-1.0853,1.2996,-1.0691,-1.4785,0.9133,-43.663,-28.7871,-56.0313,-43.232,62.1398,20.556
2.4176,-1.1291,1.3534,-1.1442,-1.4978,0.9141,-43.6601,-28.7876,-56.0385,-43.2417,62.0892,20.5711
2.3185,-1.1696,1.3369,-1.066,-1.4858,0.9262,-43.6571,-28.7882,-56.0458,-43.2515,62.0382,20.5863
2.4376,-1.1352,1.3005,-1.054,-1.5024,0.9274,-43.6541,-28.7887,-56.0531,-43.2613,61.9867,20.6016
2.361,-1.2082,1.3307,-1.0884,-1.4951,0.9458,-43.6511,-28.7893,-56.0605,-43.2713,61.9348,20.617
2.4532,-1.1184,1.3933,-1.1072,-1.4793,0.9105,-43.648,-28.7899,-56.068,-43.2813,61.8825,20.6326
2.4439,-1.1479,1.364,-1.1393,-1.5202,0.9223,-43.645,-28.7904,-56.0755,-43.2915,61.8298,20.6483
2.5438,-1.2369,1.257,-1.0991,-1.5168,0.9189,-43.6419,-28.791,-56.0831,-43.3017,61.7766,20.6642
2.3497,-1.0363,1.3086,-1.1184,-1.5092,0.9146,-43.6387,-28.7916,-56.0907,-43.312,61.723,20.6801
2.4181,-1.1526,1.2765,-1.1304,-1.5212,0.897,-43.6356,-28.7922,-56.0984,-43.3223,61.669,20.6962
2.4012,-1.16,1.3104,-1.1591,-1.5375,0.92,-43.6324,-28.7928,-56.1061,-43.3328,61.6145,20.7125
2.3994,-1.0959,1.2998,-1.1279,-1.5311,0.9429,-43.6292,-28.7934,-56.114,-43.3433,61.5596,20.7288
